DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,TIPO_BEM,DS_BEM_CANDIDATO,BEM_VALOR,DT_ULTIMA_ATUALIZACAO,HH_ULTIMA_ATUALIZACAO
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,CE,CE,CEARÁ,60000620544,6,41,Caderneta de poupança,#NULO#,15000,14/12/2018,11:00:22
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,CE,CE,CEARÁ,60000620549,5,41,Caderneta de poupança,#NULO#,500,14/12/2018,11:00:25
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,PA,PA,PARÁ,140000621024,10,61,Depósito bancário em conta corrente no País,#NULO#,10,15/05/2020,10:26:08
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,BA,BA,BAHIA,50000608176,3,59,Outros créditos e poupança vinculados,"Ag?ncia: 3571, Conta: 94041-0","72772,67",21/07/2020,16:50:53
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,RR,RR,RORAIMA,230000608393,5,61,Depósito bancário em conta corrente no País,SALDO EM CONTA CORRENTE BANCO DO BRASIL AG 5042,"14912,8",12/10/2018,18:08:04
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,PE,PE,PERNAMBUCO,170000610364,4,63,Dinheiro em espécie - moeda nacional,#NULO#,35000,07/11/2018,17:16:02
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,PE,PE,PERNAMBUCO,170000610368,4,18,Loja,#NULO#,5000,07/11/2018,17:16:02
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,PE,PE,PERNAMBUCO,170000610372,19,41,Caderneta de poupança,#NULO#,"152,44",07/11/2018,17:15:44
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,RJ,RJ,RIO DE JANEIRO,190000624747,5,61,Depósito bancário em conta corrente no País,#NULO#,"40580,3",30/04/2019,15:37:29
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,RJ,RJ,RIO DE JANEIRO,190000624762,6,61,Depósito bancário em conta corrente no País,#NULO#,"1956,12",30/04/2019,15:29:51
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,SP,SP,S?O PAULO,250000605719,40,79,Outros fundos,#NULO#,"47,81",09/07/2020,16:53:08
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,PR,PR,PARANÁ,160000623335,3,61,Depósito bancário em conta corrente no País,"Saldo em conta corrente no Banco Itaú, ag?ncia 4014 conta corrente 44686-0","6151,2",28/10/2021,19:30:44
07/11/2021,10:00:43,2018,2,Eleiç?o Ordinária,297,Eleiç?es Gerais Estaduais 2018,07/10/2018,BA,BA,BAHIA,50000608176,3,59,Automovel,"Ag?ncia: 3571, Conta: 94041-0","100000",21/07/2020,16:50:53
